Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-02,9.27342,9.27342,9.27342,9.27342,660471.05900499
1998-06-03,10.1884,10.1884,10.1884,10.1884,253191.60510688
1998-06-04,11.1032,11.1032,11.1032,11.1032,749855.93624769
1998-06-05,11.2371,11.2371,11.2371,11.2371,288201.74907244
1998-06-08,11.1907,11.1907,11.1907,11.1907,162119.27162237
1998-06-09,10.7334,10.7334,10.7334,10.7334,111981.47115836
1998-06-10,9.86561,9.86561,9.86561,9.86561,223722.85707905
1998-06-15,9.27342,9.27342,9.27342,9.27342,369897.0391319
1998-06-16,9.59535,9.59535,9.59535,9.59535,305987.49213067
1998-06-17,10.5059,10.5059,10.5059,10.5059,188288.56252697
1998-06-18,10.687,10.687,10.687,10.687,162846.38691356
1998-06-19,10.5977,10.5977,10.5977,10.5977,222736.22107859
1998-06-22,10.8741,10.8741,10.8741,10.8741,318787.46508689
1998-06-23,11.1907,11.1907,11.1907,11.1907,306297.31641355
1998-06-24,11.1907,11.1907,11.1907,11.1907,108895.80422295
1998-06-25,11.1907,11.1907,11.1907,11.1907,124339.00131947
1998-06-26,11.5547,11.5547,11.5547,11.5547,452357.17216275
1998-06-29,11.7847,11.7847,11.7847,11.7847,205827.36076932
1998-06-30,11.8774,11.8774,11.8774,11.8774,184427.76325284
1998-07-01,12.4704,12.4704,12.4704,12.4704,239409.56920234
1998-07-02,12.6988,12.6988,12.6988,12.6988,203193.28273332
1998-07-03,13.0206,13.0206,13.0206,13.0206,213639.27709747
1998-07-06,13.4746,13.4746,13.4746,13.4746,244463.93508654
1998-07-07,13.8428,13.8428,13.8428,13.8428,472885.60324545
1998-07-08,13.7019,13.7019,13.7019,13.7019,147158.53152724
1998-07-09,13.0206,13.0206,13.0206,13.0206,328576.08320507
1998-07-10,13.0206,13.0206,13.0206,13.0206,142600.34180086
1998-07-13,13.9312,13.9312,13.9312,13.9312,58496.196523583
1998-07-14,14.9816,14.9816,14.9816,14.9816,291352.58200093
1998-07-15,14.9816,14.9816,14.9816,14.9816,175470.29736217
1998-07-16,14.8443,14.8443,14.8443,14.8443,112168.96629634
1998-07-17,15.21,15.21,15.21,15.21,194507.91344532
1998-07-20,14.8443,15.8958,14.8443,15.7601,171898.74363626
1998-07-21,15.8958,15.8958,15.4383,15.5318,251160.02669109
1998-07-22,15.21,15.21,14.8443,14.9816,212409.12607023
1998-07-23,15.0753,15.8958,15.0753,15.6675,195148.14074574
1998-07-24,15.3027,15.7601,15.3027,15.5318,181985.75340696
1998-07-27,15.4383,15.4383,14.6169,14.7569,163734.70229289
1998-07-28,14.8443,14.8443,14.3886,14.5294,233425.7304695
1998-07-29,14.1603,14.5294,13.8428,14.5294,257720.06999431
1998-07-30,14.6169,14.9816,14.3886,14.5294,126743.28348515
1998-07-31,14.9816,14.9816,14.6169,14.7569,136143.19217093
1998-08-03,14.3886,14.6169,14.2986,14.5294,425109.78421476
1998-08-04,14.6169,15.3027,14.6169,15.3027,152090.56826653
1998-08-05,14.8443,15.3027,14.8443,15.0753,221889.06316857
1998-08-06,15.5318,15.8958,15.21,15.3027,215923.51664432
1998-08-07,15.7601,16.4468,15.5318,16.4468,273628.57514667
1998-08-10,15.9885,16.4468,15.9885,16.2168,199804.65109325
1998-08-11,15.6675,15.6675,14.5294,14.7569,330038.31662871
1998-08-12,15.5318,15.6675,14.9816,15.3027,303840.4441482
1998-08-13,14.6169,14.6169,14.0711,14.3886,354946.58840409
